Hours since 00:00 Jan 1,Total Electricity Consumption (10^7)
1110.5,124494883
1111.5,138129871
1112.5,139448119
1113.5,133120761
1114.5,135611761
1115.5,108428045
1116.5,88023938
1117.5,80855858
1118.5,81808703
1119.5,90679036
1120.5,101464835
1121.5,143720208
1122.5,137353254
1123.5,139923763
1124.5,140697775
1125.5,145874260
1126.5,147112854
1127.5,148735591
1128.5,149158487
1129.5,151717523
1130.5,155338734
1131.5,157660860
1132.5,160419109
1133.5,165154153
1134.5,171990917
1135.5,167931821
1136.5,155223326
1137.5,134774182
1138.5,135695123
1139.5,94250981
1140.5,73492524
1141.5,62435808
1142.5,60537242
1143.5,62491918
1144.5,77549418
1145.5,111986652
1146.5,106201582
1147.5,107446900
1148.5,110532736
1149.5,113023786
1150.5,113433865
1151.5,116152922
1152.5,115450967
1153.5,118835039
1154.5,121699677
1155.5,126883995
1156.5,127886271
1157.5,132656313
1158.5,149792342
1159.5,145051960
1160.5,129175221
1161.5,108889184
1162.5,110415206
1163.5,75006485
1164.5,58831605
1165.5,48319303
1166.5,44864044
1167.5,50438742
1168.5,58205624
1169.5,93884016
1170.5,89411396
1171.5,95875709
1172.5,101738382
1173.5,107276262
1174.5,110698381
1175.5,120419949
1176.5,125600688
1177.5,133865398
1178.5,141690753
1179.5,146228660
1180.5,150323236
1181.5,156518603
1182.5,165079090
1183.5,168115334
1184.5,159453374
1185.5,154194828
1186.5,163512969
1187.5,138855081
1188.5,128769059
1189.5,120922544
1190.5,112704272
1191.5,114918063
1192.5,120414023
1193.5,147885297
1194.5,134901449
1195.5,131866546
1196.5,129099648
1197.5,127532951
1198.5,118762714
1199.5,119814644
1200.5,109576309
1201.5,99235583
1202.5,98001367
1203.5,95765056
1204.5,97196133
1205.5,103900791
1206.5,110399041
1207.5,124008396
1208.5,112721468
1209.5,108000223
1210.5,108364677
1211.5,91342229
1212.5,83157605
1213.5,78205666
1214.5,78057239
1215.5,78962555
1216.5,83548286
1217.5,107857098
1218.5,101418989
1219.5,100198935
1220.5,97975547
1221.5,97334522
1222.5,101063865
1223.5,100490609
1224.5,101065661
1225.5,105065539
1226.5,117061642
1227.5,129673846
1228.5,136351445
1229.5,142056115
1230.5,172235589
1231.5,174215140
1232.5,168235886
1233.5,162374712
1234.5,199029639
1235.5,210775426
1236.5,183349709
1237.5,156889585
1238.5,150290462
1239.5,156025301
1240.5,161430224
1241.5,203186865
1242.5,193480909
1243.5,192662751
1244.5,190088664
1245.5,192918525
1246.5,191825341
1247.5,190896163
1248.5,195740138
1249.5,196653739
1250.5,200716830
1251.5,204144346
1252.5,206838156
1253.5,210573195
1254.5,211541217
1255.5,213020011
1256.5,195297245
1257.5,167970768
1258.5,169459399
1259.5,129160580
1260.5,106717725
1261.5,90096154
1262.5,84802457
1263.5,93537542
1264.5,102560540
1265.5,138174685
1266.5,132001104
1267.5,129796377
1268.5,124748482
1269.5,122651859
1270.5,130221302
1271.5,125468500
1272.5,121237927
1273.5,119604245
1274.5,114830944
