Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)(10000000)
1144.5,2732030
1145.5,0
1146.5,0
1147.5,0
1148.5,0
1149.5,0
1150.5,0
1151.5,0
1152.5,0
1153.5,0
1154.5,0
1155.5,0
1156.5,0
1157.5,0
1158.5,0
1159.5,366247
1160.5,1404420
1161.5,4531380
1162.5,6473920
1163.5,6730620
1164.5,13311700
1165.5,11698500
1166.5,13080800
1167.5,3389240
1168.5,2027640
1169.5,0
1170.5,0
1171.5,0
1172.5,0
1173.5,0
1174.5,0
1175.5,0
1176.5,0
1177.5,0
1178.5,0
1179.5,0
1180.5,0
1181.5,0
1182.5,0
1183.5,4887710
1184.5,35906800
1185.5,45644500
1186.5,38155600
1187.5,35084400
1188.5,29915700
1189.5,36875000
1190.5,35621400
1191.5,35676400
1192.5,4835990
1193.5,0
1194.5,0
1195.5,0
1196.5,0
1197.5,0
1198.5,0
1199.5,0
1200.5,0
1201.5,0
1202.5,0
1203.5,0
1204.5,0
1205.5,0
1206.5,0
1207.5,1282870
1208.5,6320240
1209.5,43768300
1210.5,68306500
1211.5,53183900
1212.5,76359400
1213.5,50437400
1214.5,21348800
1215.5,43769900
1216.5,20656700
1217.5,0
1218.5,0
1219.5,0
1220.5,0
1221.5,0
1222.5,0
1223.5,0
1224.5,0
1225.5,0
1226.5,0
1227.5,0
1228.5,0
1229.5,0
1230.5,0
1231.5,4548430
1232.5,36245500
1233.5,39165500
1234.5,45654300
1235.5,27141300
1236.5,13164700
1237.5,20002500
1238.5,23774300
1239.5,1710880
1240.5,4152490
1241.5,0
1242.5,0
1243.5,0
1244.5,0
1245.5,0
1246.5,0
1247.5,0
1248.5,0
1249.5,0
1250.5,0
1251.5,0
1252.5,0
1253.5,0
1254.5,0
1255.5,16899100
1256.5,44176900
1257.5,64496700
1258.5,76359400
1259.5,76359400
1260.5,76359400
1261.5,76359400
1262.5,70184400
1263.5,51999900
1264.5,26604200
1265.5,0
1266.5,0
1267.5,0
1268.5,0
1269.5,0
1270.5,0
1271.5,0
1272.5,0
1273.5,0
1274.5,0
1275.5,0
1276.5,0
1277.5,0
1278.5,0
1279.5,17550700
